,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
1187,1629060,2023-24,00,1610612747,LAL,26.0,68,39,1825.0,363,676,0.537,98,232,0.422,99,134,0.739,58,236,294,81,41,25,46,101,923,Rui Hachimura,2019,9
1193,1630169,2023-24,00,1610612754,IND,24.0,69,68,2224.0,500,1048,0.477,195,535,0.364,194,227,0.855,35,236,271,752,83,48,159,75,1389,Tyrese Haliburton,2020,12
1201,1630181,2023-24,00,1610612748,MIA,23.0,8,2,76.0,4,14,0.286,1,8,0.125,1,2,0.5,2,4,6,8,0,0,3,8,10,R.J. Hampton,2020,24
1214,203501,2023-24,00,1610612742,DAL,32.0,79,12,2120.0,392,976,0.402,211,597,0.353,144,169,0.852,22,232,254,139,42,6,69,106,1139,Tim Hardaway Jr.,2013,24
1233,201935,2023-24,00,1610612746,LAC,34.0,72,72,2470.0,352,822,0.428,186,488,0.381,302,344,0.878,34,335,369,614,77,57,185,127,1192,James Harden,2009,3
1235,1630702,2023-24,00,1610612742,DAL,21.0,73,7,989.0,195,479,0.407,81,224,0.362,59,76,0.776,20,111,131,109,22,4,62,80,530,Jaden Hardy,2022,37
1237,1631199,2023-24,00,1610612761,TOR,24.0,1,0,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,Ron Harper Jr.,Undrafted,Undrafted
1249,203914,2023-24,00,1610612753,ORL,29.0,54,27,1297.0,131,297,0.441,76,205,0.371,34,45,0.756,24,67,91,87,49,14,31,91,372,Gary Harris,2014,19
1259,203925,2023-24,00,1610612765,DET,32.0,16,0,170.0,14,39,0.359,10,30,0.333,1,2,0.5,3,10,13,10,3,2,4,19,39,Joe Harris,2014,33
1261,1630284,2023-24,00,1610612753,ORL,26.0,2,0,6.0,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,3,4,Kevon Harris,Undrafted,Undrafted
1282,202699,2023-24,00,1610612755,PHI,31.0,70,70,2368.0,463,951,0.487,91,258,0.353,187,213,0.878,80,373,453,217,70,46,93,115,1204,Tobias Harris,2011,19
1293,1628404,2023-24,00,1610612752,NYK,29.0,81,42,2707.0,295,679,0.434,80,258,0.31,91,115,0.791,128,547,675,331,75,23,118,171,761,Josh Hart,2017,30
1301,1628392,2023-24,00,1610612752,NYK,26.0,75,49,1896.0,235,365,0.644,1,3,0.333,111,157,0.707,244,382,626,188,87,85,93,210,582,Isaiah Hartenstein,2017,43
1304,1630573,2023-24,00,1610612738,BOS,26.0,79,13,1741.0,249,558,0.446,197,465,0.424,17,19,0.895,45,231,276,82,40,25,32,99,712,Sam Hauser,Undrafted,Undrafted
1305,1641722,2023-24,00,1610612740,NOP,22.0,67,10,1161.0,174,456,0.382,109,298,0.366,67,80,0.838,29,119,148,70,19,7,40,72,524,Jordan Hawkins,2023,14
1310,1629637,2023-24,00,1610612747,LAL,24.0,70,5,877.0,126,175,0.72,0,8,0.0,51,82,0.622,69,142,211,33,34,29,43,123,303,Jaxson Hayes,2019,8
